Country,Pollution,Population Density,GDP per Capita,Food Insecurity,"Travel (Arrival, Tourism)",Health Access,Cases,Recovered,Deaths,Literacy Rate
Italy,14.6586386239905,199.559268903016,39003.3160954123,2.0,38419000.0,84.0,26721656.0,26524655.0,197001.0,0.99
Jamaica,17.413637041591,262.155493998153,6839.72503886968,55.1,1329699.95117188,74.0,156822.0,153222.0,3600.0,0.89
Japan,12.835201662985,343.278433470508,33766.5268253808,5.5,4115799.8046875,83.0,33803572.0,33728878.0,74694.0,1.0
Jordan,28.7737639174179,126.768283893056,4455.50540514568,32.90984848484849,1240000.0,65.0,1746997.0,1732875.0,14122.0,0.98
Kazakhstan,20.0278724259165,7.42105011667963,12918.8661346014,2.2,2035000.0,80.0,1503687.0,1484615.0,19072.0,1.0
Kenya,24.3917906517518,95.3235776786028,1952.30457929636,72.8,10000.0,53.0,344101.0,338412.0,5689.0,0.83
Kiribati,11.2568272545112,161.072839506173,2106.76000405677,41.0,10000.0,48.0,5085.0,5061.0,24.0,0.85
Kosovo,23.410356664507074,321.08254784361867,5960.15820477447,32.90984848484849,10000.0,35.0,274279.0,271067.0,3212.0,0.85
Kuwait,53.7151434413218,257.555723905724,33729.7985494456,8.7,2161000.0,78.0,667290.0,664720.0,2570.0,0.96
Latvia,11.6020322023647,30.2005945685361,22502.8429938094,10.2,3204000.0,75.0,977701.0,970236.0,7465.0,1.0
Lebanon,19.2310172881236,561.533626588465,20473.30811712618,40.1,10000.0,73.0,1239904.0,1228957.0,10947.0,0.95
Lesotho,23.4391013240086,75.3000658761528,916.282979328622,56.7,10000.0,53.0,36138.0,35429.0,709.0,0.82
Liberia,42.3616590279287,55.7858596345515,771.887142089677,81.0,10000.0,45.0,7930.0,7636.0,294.0,0.48
Libya,32.9707065002742,4.10550768950976,6172.81246940233,37.9,10000.0,62.0,507269.0,500832.0,6437.0,0.91
Liechtenstein,23.410356664507074,246.83125,20473.30811712618,32.90984848484849,58400.0015258789,35.0,21576.0,21487.0,89.0,0.85
Lithuania,9.21893860360944,45.2309596830873,27786.0057829276,6.1,2284000.0,75.0,1366278.0,1356473.0,9805.0,1.0
Luxembourg,8.67476189540246,253.685433061691,128678.189942826,2.6,525000.0,83.0,391378.0,390378.0,1000.0,0.85
Madagascar,12.7535199510191,52.3156772086628,506.159368687808,68.6,87099.9984741211,35.0,68525.0,67098.0,1427.0,0.77
Malawi,23.6983194353464,218.166397963513,602.343619809252,81.7,10000.0,48.0,89168.0,86482.0,2686.0,0.68
Malaysia,16.1938532237922,105.601865773855,11379.0861000632,16.7,4333000.0,76.0,5281323.0,5243973.0,37350.0,0.95
Maldives,12.0123911668511,1747.02,12530.3602359683,13.4,555000.0,61.0,186694.0,186378.0,316.0,0.98
Mali,56.7830489222988,18.9090551471492,869.270234286992,20.0,10000.0,41.0,33164.0,32421.0,743.0,0.31
Malta,11.7226648774147,1660.971875,40395.7692064458,8.2,718000.0,85.0,121422.0,120517.0,905.0,0.95
Marshall Islands,10.7256194470999,222.65,6678.34239060448,32.90984848484849,10000.0,59.0,16178.0,16161.0,17.0,0.98
Mauritania,70.8224442103687,4.73041331134181,2120.82320358953,61.2,10000.0,40.0,63854.0,62857.0,997.0,0.67
Mauritius,9.15296880580014,632.209814722083,11613.0441587588,31.2,316000.0,66.0,327305.0,326235.0,1070.0,0.92
Mexico,14.9923440243315,66.1607124668844,13790.0243428344,20.7,51128000.0,75.0,7709747.0,7374736.0,335011.0,0.95
Moldova,14.7583463021422,88.0236014898876,6729.41286813969,24.7,29000.0,71.0,635631.0,623396.0,12235.0,1.0
Monaco,9.5810695715317,18680.9021113244,256580.515122745,32.90984848484849,159000.0,86.0,17181.0,17114.0,67.0,0.85
Mongolia,29.6547866481682,2.20464400171549,5838.63108083902,5.3,66900.0015258789,65.0,1011469.0,1009333.0,2136.0,0.99
Montenegro,17.9824100566499,45.8894423791822,12221.4775546967,12.3,351000.0,72.0,251280.0,248626.0,2654.0,0.99
Morocco,21.3212642117301,83.6411920233027,3771.4462890625,32.90984848484849,2802000.0,69.0,1279115.0,1262810.0,16305.0,0.77
Mozambique,20.0802484321177,41.5273099519316,622.985619320596,32.90984848484849,10000.0,44.0,233794.0,231542.0,2252.0,0.63
Myanmar,32.3150340028667,82.3644215300228,1233.19666209269,32.0,903000.0,52.0,642138.0,622644.0,19494.0,0.89
Namibia,19.9945355710926,3.50989566252475,4168.28521087347,56.8,187100.006103516,63.0,172404.0,168296.0,4108.0,0.92
